"month_year","Topic_Assigned","count"
"Aug-2018",9,1
"Sep-2018",4,1
"Oct-2018",9,1
"Jan-2019",4,1
"Jan-2019",9,2
"Feb-2019",4,1
"Feb-2019",9,1
"Mar-2019",4,2
"Mar-2019",9,3
"Apr-2019",4,1
"Apr-2019",9,1
"May-2019",4,3
"May-2019",9,6
"Jun-2019",9,2
"Jul-2019",4,2
"Jul-2019",9,2
"Aug-2019",4,1
"Aug-2019",9,3
"Sep-2019",4,2
"Sep-2019",9,1
"Oct-2019",4,3
"Oct-2019",9,7
"Nov-2019",4,3
"Nov-2019",9,8
"Dec-2019",4,3
"Jan-2020",4,2
"Jan-2020",9,7
"Feb-2020",4,5
"Feb-2020",9,5
"Mar-2020",4,4
"Mar-2020",9,7
"Apr-2020",9,6
"May-2020",4,4
"May-2020",9,1
"Jun-2020",4,3
"Jun-2020",9,7
"Jul-2020",4,4
"Jul-2020",9,1
"Aug-2020",4,8
"Aug-2020",9,3
"Sep-2020",4,6
"Sep-2020",9,2
"Oct-2020",4,3
"Oct-2020",9,6
"Nov-2020",4,5
"Nov-2020",9,4
"Dec-2020",4,2
"Dec-2020",9,6
"Jan-2021",4,4
"Jan-2021",9,5
"Feb-2021",4,4
"Feb-2021",9,4
"Mar-2021",9,4
"Apr-2021",4,7
"Apr-2021",9,7
"May-2021",4,10
"May-2021",9,10
"Jun-2021",4,12
"Jun-2021",9,13
"Jul-2021",4,8
"Jul-2021",9,11
"Aug-2021",4,7
"Aug-2021",9,4
"Sep-2021",4,20
"Sep-2021",9,13
"Oct-2021",4,45
"Oct-2021",9,16
"Nov-2021",4,65
"Nov-2021",9,37
"Dec-2021",4,72
"Dec-2021",9,35
"Jan-2022",4,67
"Jan-2022",9,24
"Feb-2022",4,13
"Feb-2022",9,20
