Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
pay,school,us,manag,mental,compani,food,interview,fuck,store
hous,colleg,human,hour,health,pay,restaur,appli,life,custom
insur,kid,societi,back,never,employe,owner,email,feel,shop
home,degre,world,know,medic,busi,fast,experi,know,sale
live,skill,rich,take,disabl,rais,pandem,hire,live,open
health,teacher,system,call,pain,employ,mani,compani,much,dog
rent,student,power,month,cours,corpor,employe,ask,need,sell
countri,learn,food,come,issu,offer,busi,train,think,nobodi
state,graduat,exist,compani,park,wage,walk,look,now,anoth
car,high,countri,ask,walk,increas,server,test,hour,retail
